 INFO  Accepting connections at http://localhost:5173
 HTTP  6/10/2025 1:49:09 PM 172.18.0.7 GET /
 HTTP  6/10/2025 1:49:09 PM 172.18.0.7 Returned 200 in 29 ms
 HTTP  6/10/2025 1:49:11 PM 172.18.0.7 GET /assets/index-b97c9f74.css
 HTTP  6/10/2025 1:49:11 PM 172.18.0.7 Returned 304 in 7 ms
 HTTP  6/10/2025 1:49:15 PM 172.18.0.7 GET /assets/Input-67e313af.js
 HTTP  6/10/2025 1:49:15 PM 172.18.0.7 Returned 200 in 4 ms
 HTTP  6/10/2025 1:49:16 PM 172.18.0.7 GET /favicon.ico
 HTTP  6/10/2025 1:49:16 PM 172.18.0.7 Returned 200 in 2 ms
 HTTP  6/10/2025 1:49:23 PM 172.18.0.7 GET /
 HTTP  6/10/2025 1:49:23 PM 172.18.0.7 Returned 200 in 1 ms
 HTTP  6/10/2025 1:49:44 PM 172.18.0.7 GET /
 HTTP  6/10/2025 1:49:44 PM 172.18.0.7 Returned 200 in 2 ms
 HTTP  6/10/2025 1:49:45 PM 172.18.0.7 GET /assets/index-b97c9f74.css
 HTTP  6/10/2025 1:49:45 PM 172.18.0.7 Returned 200 in 1 ms
 HTTP  6/10/2025 1:49:47 PM 172.18.0.7 GET /assets/Input-67e313af.js
 HTTP  6/10/2025 1:49:47 PM 172.18.0.7 Returned 200 in 2 ms
 HTTP  6/10/2025 1:49:47 PM 172.18.0.7 GET /favicon.ico
 HTTP  6/10/2025 1:49:47 PM 172.18.0.7 Returned 200 in 1 ms
 HTTP  6/10/2025 1:49:49 PM 172.18.0.7 GET /assets/index-dfb2a7d4.js
 HTTP  6/10/2025 1:49:49 PM 172.18.0.7 Returned 304 in 6 ms
 HTTP  6/10/2025 1:49:49 PM 172.18.0.7 GET /assets/Button-d1ac32ff.js
 HTTP  6/10/2025 1:49:49 PM 172.18.0.7 GET /assets/Login-cecc8d8d.js
 HTTP  6/10/2025 1:49:49 PM 172.18.0.7 Returned 304 in 5 ms
 HTTP  6/10/2025 1:49:49 PM 172.18.0.7 Returned 304 in 4 ms
 HTTP  6/10/2025 1:49:50 PM 172.18.0.7 GET /favicon.ico
 HTTP  6/10/2025 1:49:50 PM 172.18.0.7 Returned 304 in 1 ms
 HTTP  6/10/2025 1:49:53 PM 172.18.0.7 GET /favicon.ico
